index,slack_pt,strength_x2_capture_pt,strength_x4_capture_pt,num_launch_pt,setup_pt,strength_x16_capture_pt,strength_x0_launch_pt,strength_x16_launch_pt,strength_x4_data_pt,strength_x32_data_pt,strength_x0_common_pt,slack_launch_pt,strength_x0_capture_pt,strength_x1_launch_pt,strength_x1_data_pt,strength_x2_common_pt,strength_x8_common_pt,num_capture_pt,slack_capture_pt,strength_x32_capture_pt,strength_x2_launch_pt,strength_x8_data_pt,strength_x16_data_pt,strength_x4_common_pt,strength_x32_common_pt,num_data_pt,slack_data_pt,strength_x8_capture_pt,strength_x8_launch_pt,strength_x32_launch_pt,strength_x0_data_pt,strength_x2_data_pt,strength_x1_common_pt,strength_x16_common_pt,num_common_pt,ttl_fanout_pt,strength_x1_capture_pt,strength_x4_launch_pt,net_m1_data_pt,net_m1_common_pt,net_m4_launch_pt,net_m5_data_pt,net_m4_common_pt,net_m2_capture_pt,net_m2_launch_pt,net_m2_common_pt,net_m1_capture_pt,net_m4_capture_pt,net_m1_launch_pt,net_m3_capture_pt,net_m5_launch_pt,net_m2_data_pt,net_m4_data_pt,net_m5_common_pt,net_m5_capture_pt,net_m3_launch_pt,net_m3_data_pt,net_m3_common_pt,label_0,label_1,label_2,label_3,label_4,label_5,label_6,label_7,label_8,label_9,label_10,label_11,label_12,STA,status
2517,9.801791999999999,6,0,7,0.047101,0,0,0,0,0,0,0.45570299999999997,0,1,2,0,0,7,0.457408,0,6,0,0,0,0,3,0.155698,0,0,0,0,0,0,0,0,7,1,0,0.0,0.0,128.744,0.0,47.728,5.029,4.513999999999999,0.728,0.27399999999999997,184.22400000000002,0.154,189.692,0,1.702,0.0,0,0,180.998,3.8,143.416,9968.99742274,9812.90585174,9812.89289671,9812.89655354,9812.8897653,9812.88412116,9812.87921438,9812.87491641,9812.87099529,9812.86738094,9812.84742536,9812.84450517,9812.88356004,9801.476,evaluation
2518,9.791835,1,0,1,0.052705999999999996,0,0,0,0,0,0,0.46153999999999995,0,1,1,6,0,1,0.44754799999999995,0,0,0,0,0,0,3,0.15539,0,0,0,0,1,0,0,6,9,0,0,0.578,0.58,0.0,0.0,169.48,0.0,0.0,5.928,0.0,0.0,0.0,0.0,0,1.672,0.0,0,0,0.0,0.0,337.152,9947.29091681,9791.19162243,9791.19117588,9791.19083287,9791.1906707,9791.19035664,9791.19009929,9791.19001394,9791.18974783,9791.18961049,9791.18950684,9791.18935684,9791.36749204,9791.835,evaluation
2519,9.792676,1,0,2,0.046444,0,0,0,0,0,0,0.464888,0,1,2,5,0,2,0.44944799999999996,0,1,0,0,0,0,3,0.155118,0,0,0,0,0,0,0,5,7,1,0,1.034,0.154,13.072000000000001,0.0,156.10399999999998,1.045,1.062,4.55,0.0,6.3839999999999995,0.0,8.238,0,1.672,0.0,0,0,6.9,0.0,346.88,9951.91162525,9796.7767698,9796.77739018,9796.77778902,9796.77797513,9796.77810813,9796.77822505,9796.77833959,9796.77846128,9796.77856534,9796.77865533,9796.77773836,9796.77808084,9792.676,evaluation
2520,9.7929,1,0,2,0.046595,0,0,0,0,0,0,0.454913,0,1,2,5,0,2,0.43993999999999994,0,1,0,0,0,0,3,0.154646,0,0,0,0,0,0,0,5,7,1,0,0.0,0.154,6.3839999999999995,0.0,169.176,0.76,1.065,4.186,0.0,9.728,0.0,10.792,0,3.222,0.0,0,0,7.782,1.216,314.656,9951.34029033,9796.46329864,9796.46300441,9796.4627885,9796.4603268,9796.46249217,9796.46030284,9796.46030214,9796.46029239,9796.46028982,9796.46027056,9796.46026277,9796.66022298,9792.9,evaluation
2521,9.799989,4,0,5,0.047662,0,0,0,0,0,0,0.45769,0,1,2,2,0,5,0.459545,0,4,0,0,0,0,3,0.158385,0,0,0,0,0,0,0,2,8,1,0,0.152,0.154,86.336,0.0,76.152,4.414,4.15,1.6380000000000001,0.0,92.11200000000001,0.426,156.314,0,6.232,0.0,0,0,117.98,1.672,218.838,9966.57683848,9807.462077799999,9807.42425049,9807.42449508,9807.39794344,9807.38840136,9807.38013402,9807.37278448,9807.36613202,9807.35929687,9807.35374904,9807.34858315,9807.46931235,9799.989,evaluation
2522,9.793022,0,0,1,0.047508999999999996,0,0,0,0,0,0,0.44315200000000005,0,1,2,6,0,1,0.43122,0,0,0,0,0,0,3,0.15631099999999998,0,0,0,0,0,0,0,6,6,1,0,0.0,0.154,0.0,0.0,153.216,0.0,0.0,4.9239999999999995,0.0,0.0,0.0,0.0,0,0.486,0.0,0,0,0.0,9.12,324.506,9952.51237758,9795.72989202,9795.72543055,9795.72717031,9795.72625198,9795.72546699,9795.7248062,9795.7241444,9795.72352108,9795.72295013,9795.72246185,9795.7220583,9795.72331252,9793.021999999999,evaluation
2523,9.79394,1,0,2,0.049981,0,0,0,0,0,0,0.45153699999999997,0,1,2,5,0,2,0.45032,0,1,0,0,0,0,3,0.163801,0,0,0,0,0,0,0,5,6,1,0,0.0,0.27399999999999997,6.3839999999999995,0.0,169.632,1.3219999999999998,0.755,4.46,0.0,13.376,0.0,14.804,0,2.918,0.0,0,0,4.59,8.512,328.032,9960.99738928,9798.38431528,9798.38822564,9798.38534006,9798.47286739,9798.47302424,9798.47315536,9798.47327169,9798.47337414,9798.47346567,9798.47355434,9798.47361305,9798.38600791,9793.94,evaluation
2524,9.794178,1,0,2,0.049589999999999995,0,0,0,0,0,0,0.451875,0,1,2,5,0,2,0.448763,0,1,0,0,0,0,3,0.162233,0,0,0,0,0,0,0,5,5,1,0,0.0,0.154,9.728,0.0,169.176,1.3530000000000002,0.76,4.186,0.0,17.632,0.0,12.19,0,15.23,0.0,0,0,10.792,1.824,314.656,9959.25911919,9796.8123523,9796.81203134,9796.811831899999,9796.80850862,9796.80821828,9796.80797148,9796.80774498,9796.80748975,9796.80729358,9796.81097885,9796.81091257,9797.00999981,9794.178,evaluation
2525,9.788658,0,0,1,0.047809,0,0,0,0,0,0,0.447984,0,1,2,6,0,1,0.435374,0,0,0,0,0,0,3,0.159278,0,0,0,0,0,0,0,6,8,1,0,0.0,0.42700000000000005,0.0,0.0,165.37599999999998,0.0,0.0,6.034,0.0,0.0,0.0,0.0,0,1.702,0.0,0,0,0.0,7.904,330.616,9952.17300478,9792.04200729,9792.04253072,9792.03532721,9792.03822373,9792.03781446,9792.03745357,9792.03711865,9792.03680546,9792.03650886,9792.03624273,9792.03671792,9791.49807421,9788.659,evaluation
2526,9.794152,1,0,2,0.048012,0,0,0,0,0,0,0.456829,0,1,2,5,0,2,0.448763,0,1,0,0,0,0,3,0.158883,0,0,0,0,0,0,0,5,7,1,0,0.0,0.154,6.3839999999999995,0.0,169.176,1.3530000000000002,2.093,4.186,0.0,17.632,0.0,12.19,0,7.144,0.0,0,0,14.804,0.76,314.656,9956.87081918,9797.49186138,9797.49144853,9797.49115188,9797.49211936,9797.49074507,9797.49061803,9797.49050292,9797.49039675,9797.49029954,9797.49020826,9797.49011095,9797.65215354,9794.152,evaluation
2527,9.793885000000001,1,0,2,0.046356,0,0,0,0,0,0,0.464888,0,1,2,5,0,2,0.44944799999999996,0,1,0,0,0,0,3,0.153998,0,0,0,0,0,0,0,5,7,1,0,0.0,0.154,13.072000000000001,0.0,156.10399999999998,1.045,1.062,4.55,0.0,6.3839999999999995,0.0,8.238,0,2.736,0.0,0,0,6.9,0.0,346.88,9952.00504339,9797.89448848,9797.89603531,9797.89611231,9797.89616937,9797.89619973,9797.89622395,9797.89623848,9797.89624853,9797.89625189,9797.89624394,9797.89623434,9797.56022949,9793.885,evaluation
2528,9.793455,0,0,1,0.047449,0,0,0,0,0,0,0.44298999999999994,0,1,2,5,0,1,0.42972,0,0,0,0,0,0,3,0.15904400000000002,0,0,0,0,0,0,0,5,8,1,0,0.152,0.27399999999999997,0.0,0.0,230.128,0.0,0.0,5.484,0.0,0.0,0.0,0.0,0,3.8,0.0,0,0,0.0,2.128,349.404,9952.52689163,9792.89516784,9792.89596502,9792.89638554,9792.89700443,9792.89856143,9792.90079733,9792.90222026,9792.90465467,9792.90574045,9792.90668004,9792.90751802,9792.90749007,9793.454,evaluation
2529,9.794939,2,0,3,0.047226,0,0,0,0,0,0,0.47200299999999995,0,1,2,4,0,3,0.45853999999999995,0,2,0,0,0,0,3,0.153315,0,0,0,0,0,0,0,4,5,1,0,0.0,0.153,9.272,0.0,179.208,1.405,1.861,4.126,0.0,4.256,0.0,8.693999999999999,0,1.824,0.0,0,0,6.747999999999999,1.672,370.13599999999997,9951.89046414,9798.38269936,9798.38494759,9798.38649566,9798.38777384,9798.38889058,9798.38991275,9798.39088107,9798.39177421,9798.39260542,9798.39339187,9798.39414769,9798.39567775,9794.939,evaluation
2530,9.795046000000001,1,0,2,0.046694,0,0,0,0,0,0,0.44709799999999994,0,1,2,4,0,2,0.43525699999999995,0,1,0,0,0,0,3,0.154863,0,0,0,0,0,0,0,4,7,1,0,0.0,0.0,10.032,0.0,246.392,1.189,1.067,4.614,0.0,3.344,0.0,14.895999999999999,0,0.486,0.0,0,0,7.386,3.8,334.356,9953.63968158,9798.50747755,9798.51697893,9798.50752509,9798.50753191,9798.51700991,9798.51700912,9798.51702233,9798.5170235,9798.51702563,9798.51702677,9798.51703992,9798.51704004,9795.046999999999,evaluation
2531,9.796223,2,0,3,0.046118,0,0,0,0,0,0,0.450636,0,1,2,4,0,3,0.43687600000000004,0,2,0,0,0,0,3,0.15074300000000002,0,0,0,0,0,0,0,4,5,1,0,0.0,0.307,30.096,0.0,137.71200000000002,2.151,2.166,3.3680000000000003,0.0,18.24,0.0,41.282,0,0.638,0.0,0,0,38.211999999999996,0.608,288.54400000000004,9952.94876614,9802.421298000001,9802.41884534,9802.41872701,9802.41858175,9802.42149553,9802.41716397,9802.41838362,9802.41829785,9802.41821403,9802.42152434,9802.4180165,9802.55941339,9796.223,evaluation
2532,9.795417,1,0,2,0.047089,0,0,0,0,0,0,0.44017799999999996,0,1,2,4,0,2,0.429091,0,1,0,0,0,0,3,0.155395,0,0,0,0,0,0,0,4,6,1,0,0.152,0.0,7.904,0.0,188.48,1.052,0.9079999999999999,4.004,0.0,7.904,0.0,6.292000000000001,0,1.702,0.0,0,0,8.906,4.712,378.98199999999997,9953.99240686,9798.38745426,9798.38368399,9798.38075739,9798.37868586,9798.37648713,9798.37450348,9798.37262722,9798.370864299999,9798.36922026,9798.36764227,9798.36614447,9798.38584619,9795.418,evaluation
2533,9.794603,0,0,1,0.047108,0,0,0,0,0,0,0.475813,0,1,2,6,0,1,0.46062600000000004,0,0,0,0,0,0,3,0.158216,0,0,0,0,0,0,0,6,9,1,0,0.0,0.154,0.0,0.0,192.736,0.0,0.0,6.081,0.0,0.0,0.0,0.0,0,0.638,0.0,0,0,0.0,4.256,347.7,9952.88891298,9794.14118707,9794.13646676,9794.13972783,9794.13933299,9794.13613549,9794.1360915,9794.13607657,9794.13838919,9794.13823041,9794.13809239,9794.13605583,9793.79527322,9794.603000000001,evaluation
2534,9.79561,1,0,2,0.046830000000000004,0,0,0,0,0,0,0.454809,0,1,2,5,0,2,0.44318900000000006,0,1,0,0,0,0,3,0.15509,0,0,0,0,0,0,0,5,7,1,0,0.0,0.58,8.512,0.0,156.10399999999998,1.061,1.113,4.582,0.0,10.335999999999999,0.0,12.19,0,0.638,0.0,0,0,8.39,4.256,322.53,9954.54552866,9799.17134623,9799.171396400001,9799.17143779,9799.17231591,9799.17220542,9799.17149069,9799.17149646,9799.17151725,9799.17151604,9799.17153287,9799.171536700002,9799.35119596,9795.61,evaluation
2535,9.79573,1,0,2,0.046370999999999996,0,0,0,0,0,0,0.459214,0,1,2,5,0,2,0.44489399999999996,0,1,0,0,0,0,3,0.153256,0,0,0,0,0,0,0,5,6,1,0,0.456,0.154,6.992000000000001,0.0,170.392,1.642,1.645,4.55,0.0,3.344,0.0,8.056000000000001,0,1.976,0.0,0,0,8.724,0.0,327.272,9952.43155194,9799.28398732,9799.28117679,9799.28154276,9799.27722953,9799.27475671,9799.2778473,9799.27803024,9799.2782472,9799.27844616,9799.27862417,9799.27878612,9798.93840162,9795.73,evaluation
2536,9.794839999999999,0,0,1,0.047054,0,0,0,0,0,0,0.475813,0,1,2,6,0,1,0.46062600000000004,0,0,0,0,0,0,3,0.15803299999999998,0,0,0,0,0,0,0,6,9,1,0,0.0,0.154,0.0,0.0,192.736,0.0,0.0,6.081,0.0,0.0,0.0,0.0,0,0.486,0.0,0,0,0.0,4.256,347.7,9952.93209777,9794.39094426,9794.38974617,9794.38581857,9794.38864991,9794.38555685,9794.3919176,9794.38783945,9794.38543456,9794.3854013,9794.38540334,9794.38538795,9794.04374344,9794.841,evaluation
2537,9.7964,1,0,2,0.047651,0,0,0,0,0,0,0.46322399999999997,0,1,2,5,0,2,0.45498,0,1,0,0,0,0,3,0.157385,0,0,0,0,0,0,0,5,7,1,0,0.0,0.154,6.3839999999999995,0.0,156.10399999999998,1.474,1.045,4.55,0.0,12.767999999999999,0.0,10.974,0,1.702,0.0,0,0,8.238,5.776,346.88,9957.88420897,9800.33299855,9800.33511615,9800.33648907,9800.35222998,9800.35279271,9800.35326125,9800.3538064,9800.34181173,9800.35387427,9800.35436757,9800.35584889,9800.01419913,9796.399,evaluation
